"Gemeinde";"Flaeche";"Bevoelkerung"
"Flensburg, Stadt";56,73;92550
"Kiel, Landeshauptstadt";118,65;247717
"Lübeck, Hansestadt";214,19;218095
"Neumünster, Stadt";71,66;79502
"Brunsbüttel, Stadt";65,21;12603
"Heide, Stadt";31,97;22114
"Averlak";9,06;570
"Brickeln";6,07;198
"Buchholz";14,56;1001
"Burg (Dithmarschen)";11,25;4206
"Dingen";7,01;648
"Eddelak";9,21;1355
"Eggstedt";12,79;746
"Frestedt";10,33;353
"Großenrade";10,4;484
"Hochdonn";5,46;1082
"Kuden";11,37;621
"Quickborn";6,95;179
"Sankt Michaelisdonn";23,06;3541
"Süderhastedt";15,74;787
"Diekhusen-Fahrstedt";7,46;702
"Friedrichskoog";53,27;2462
"Helse";11,44;816
"Kaiser-Wilhelm-Koog";13,05;390
"Kronprinzenkoog";28,84;844
"Marne, Stadt";4,83;6037
"Marnerdeich";1,31;416
"Neufeld";10,4;622
"Neufelderkoog";9,77;114
"Ramhusen";4,8;169
"Schmedeswurth";5,91;191
"Trennewurth";7,79;247
"Volsemenhusen";16,78;344
"Barkenholm";5,11;177
"Bergewöhrden";2,64;35
"Dellstedt";21,77;720
"Delve";15,84;761
"Dörpling";7,82;649
"Fedderingen";9,69;267
"Gaushorn";6,45;174
"Glüsing";4,69;115
"Groven";7,9;90
"Hemme";16,53;513
"Hennstedt";21,93;2042
"Hövede";2,94;61
"Hollingstedt";9,74;307
"Karolinenkoog";17,55;129
"Kleve";12,81;400
"Krempel";4,82;605
"Lehe";18,63;1079
"Linden";11,62;875
"Lunden";4,65;1677
"Norderheistedt";4,33;131
"Pahlen";10,8;1153
"Rehm-Flehde-Bargen";14,63;555
"Sankt Annen";14,89;310
"Schalkholz";12,52;577
"Schlichting";12,5;246
"Tellingstedt";21,1;2717
"Tielenhemme";12,68;166
"Wallen";1,86;30
"Welmbüttel";7,6;402
"Westerborstel";4,14;115
"Wiemerstedt";5,08;153
"Wrohm";11,45;727
"Süderdorf";16,21;357
"Süderheistedt";8,44;511
"Hemmingstedt";16,01;2867
"Lieth";4,66;369
"Lohe-Rickelshof";5,39;2083
"Neuenkirchen";25,14;998
"Norderwöhrden";18,47;266
