"Item_Number";"Set_Name";"Theme";"Pieces";"Amazon_Price"
10859;"My First Ladybird";"DUPLO";6;16
10860;"My First Race Car";"DUPLO";6;9,45
10862;"My First Celebration";"DUPLO";41;39,89
10864;"Large Playground Brick Box";"DUPLO";71;56,69
10867;"Farmers' Market";"DUPLO";26;36,99
10870;"Farm Animals";"DUPLO";16;9,99
10872;"Train Bridge and Tracks";"DUPLO";26;21,99
10875;"Cargo Train";"DUPLO";105;128,95
10876;"Spider-Man & Hulk Adventures";"DUPLO";38;74,5
10878;"Rapunzel's Tower";"DUPLO";37;98,99
10882;"Train Tracks";"DUPLO";23;17,99
10885;"My First Fun Puzzle";"DUPLO";15;19,55
10886;"My First Car Creations";"DUPLO";34;16
10901;"Fire Truck";"DUPLO";21;17,99
10904;"Baby Animals";"DUPLO";9;21,11
10906;"Tropical Island";"DUPLO";73;59,99
10908;"Plane";"DUPLO";12;23,27
10910;"Submarine Adventure";"DUPLO";24;17,99
10915;"Alphabet Truck";"DUPLO";36;21,99
10918;"Tow Truck";"DUPLO";7;6,29
10921;"Super Heroes Lab";"DUPLO";30;26,99
10926;"Bedroom";"DUPLO";16;14,99
10927;"Pizza Stand";"DUPLO";18;8,99
10928;"Bakery";"DUPLO";46;29,99
10929;"Modular Playhouse";"DUPLO";129;59,99
41330;"Stephanie's Soccer Practice";"Friends";119;40,4
41333;"Olivia's Mission Vehicle";"Friends";223;45,95
41335;"Mia's Tree House";"Friends";351;53,88
41340;"Friendship House";"Friends";722;184,99
41353;"Friends Advent Calendar";"Friends";500;34
41356;"Stephanie's Heart Box";"Friends";85;14,99
41358;"Mia's Heart Box";"Friends";83;18,64
41363;"Mia's Forest Adventures ";"Friends";134;18,95
41367;"Stephanie's Obstacle Course";"Friends";337;35,99
41369;"Mia's House";"Friends";715;62,99
41374;"Andrea's Pool Party";"Friends";468;40
41376;"Turtles Rescue Mission";"Friends";225;31,27
41378;"Dolphins Rescue Mission";"Friends";363;31,67
41384;"Andrea's Summer Heart Box";"Friends";83;14,99
41387;"Olivia's Summer Heart Box";"Friends";93;7,99
41394;"Heartlake City Hospital";"Friends";379;48,53
41396;"Puppy Playground";"Friends";57;8,99
41400;"Andrea's Play Cube - Singer";"Friends";49;18,93
41403;"Mia's Play Cube - Veterinarian";"Friends";40;17,97
41408;"Mia's Play Cube - Cinema";"Friends";37;15,32
41421;"Baby Elephant Jungle Rescue";"Friends";203;19,99
41423;"Tiger Hot Air Balloon Jungle Rescue";"Friends";302;39,95
41424;"Jungle Rescue Base";"Friends";648;79,95
41427;"Emma's Fashion Shop";"Friends";343;29,95
41428;"Beach House";"Friends";444;49,95
60170;"Off-Road Chase";"City";37;30,89
60171;"Mountain Fugitives";"City";88;16,49
60172;"Dirt Road Pursuit";"City";297;64,75
60182;"Pickup & Caravan";"City";344;65,99
60183;"Heavy Cargo Transport";"City";310;69,95
60184;"Mining Team";"City";82;21,99
60202;"People Pack - Outdoor Adventures";"City";164;69,99
60208;"Parachute Arrest";"City";218;31,46
60213;"Dock Side Fire";"City";97;23,83
60215;"Fire Station";"City";509;56
60217;"Fire Plane";"City";363;53,99
60219;"Construction Loader";"City";88;8,99
60221;"Diving Yacht";"City";148;16
60223;"Harvester Transport";"City";358;54,8
60226;"Mars Research Shuttle";"City";273;31,99
60243;"Police Helicopter Chase";"City";212;35,98
60245;"Police Monster Truck Heist";"City";362;52,74
60246;"Police Station";"City";743;99,99
60248;"Fire Helicopter Response";"City";93;23,98
60249;"Street Sweeper";"City";89;8,99
60251;"Monster Truck";"City";55;8,99
60252;"Construction Bulldozer";"City";126;15,99
60258;"Tuning Workshop";"City";897;99,99
60266;"Ocean Exploration Ship";"City";745;149,99
60267;"Safari Off-Roader";"City";168;17,99
